Infinitive,застели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засте́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застелю́
2nd Sing,засте́лешь
3rd Sing,засте́лет
1st Pl,засте́лем
2nd Pl,засте́лете
3rd Pl,засте́лют
Past M,застели́л
Past F,застели́ла
Past N,застели́ло
Past PL,застели́ли
Imp S,застели́
Imp PL,застели́те
