Infinitive,стели́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сте́лющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,стели́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,стеля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,стели́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,стелю́сь
2nd Sing,сте́лешься
3rd Sing,сте́лется
1st Pl,сте́лемся
2nd Pl,сте́летесь
3rd Pl,сте́лются
Past M,стели́лся
Past F,стели́лась
Past N,стели́лось
Past PL,стели́лись
Imp S,стели́сь
Imp PL,стели́тесь
